,mean,std
1,200,15
2,200,15
3,200,15
4,50.5,4.2
5,50,5
6,150,10
7,150,20
8,50,10
9,150.0,10.0
10,210,15
11,50.0,5.0
12,100,15
13,150,10
14,220,15
15,50,5
16,120,15
17,150,10
18,210,15
19,200,15
20,215,15
21,150,10
22,200,15
23,150,10
24,150,10
25,60,5
26,150,10
27,150,10
28,150,10
29,150,10
30,200,15
31,150,10
32,150,10
33,58.5,3.2
34,156.5,9.8
35,210.0,15.5
36,150,10
37,150.0,10.0
38,210,15
39,150.5,10.2
40,150,10
41,50.0,5.0
42,150,10
43,110,15
44,150,10
45,200,15
46,150.0,10.0
47,200,15
48,50,5
49,150,10
50,150,10
51,500,15
52,210,15
53,150.0,10.0
54,210.5,15.8
55,150.0,10.0
56,210,15
57,150,10
58,250,15
59,60,10
60,150,10
61,750,20
62,250,15
63,50,10
64,150,15
65,150,10
66,300,15
67,100,15
68,150,10
69,150,10
70,150.0,10.0
71,50,10
72,50.5,10.2
73,210,15
74,150,10
75,150.0,10.0
76,550,20
77,150.0,10.0
78,150,10
79,150,10
80,50,10
81,220,15
82,200,15
83,250,15
84,50,5
85,210,15
86,100,15
87,150,10
88,150,10
89,150,10
90,150.0,20.0
91,150,10
92,120,10
93,150.0,10.0
94,210,15
95,150.0,10.0
96,205,15
97,150,10
98,150,10
99,50,5
100,50,5
