No.,問題文
001,"新しいスニーカーモデルの着地衝撃吸収性能について、工場が行った試験では、着地時の衝撃力の平均値は{mean}N（ニュートン）であると報告されています。この値は長時間の運動を行った際に運動中の足への負担を減らすための基準値です。市場に出回る前に独立した機関が検証を行うことになり、{size}足のスニーカーについて着地衝撃力を測定した結果、次の値を得ました：{data}N。着地衝撃力の測定値は正規分布に従うと考えられます。有意水準{alpha}で、これらのスニーカーの着地時の衝撃力の平均値が工場の報告値{mean}Nを上回っているかどうかを検定してください。
002,"高級レストランのシェフは、料理の塩分濃度が顧客の好みに適していることを保証するために、塩分濃度の基準値を{mean}%に設定しています。ある日、{size}皿の料理について塩分濃度を測定し、以下の結果を得ました：{data}%。これまでの経験と正規分布を仮定して、これらの料理が基準値を超える濃度となっていないか確認する必要があります。有意水準{alpha}で、新鮮な食材の影響で塩分の基準値を上回っているかどうかを検定してください。
003,"あなたは製品の品質管理者であり、最新の製造バッチから抽出した製品の平均寿命が以前調査された{mean}時間から変化があるかを確認するために実験を行っています。顧客の満足度を向上させるため、製品が従来よりも長く機能することが期待されています。ランダムに選ばれた{size}個の製品の寿命をテストした結果、以下のデータが得られました：{data}時間。製品寿命は正規分布に従うと思われます。有意水準{alpha}で、新しいバッチの製品平均寿命が{mean}時間を超えているかどうかの検定をしてください。
004,"新型コンピュータチップの性能評価において、過去のモデルにおける演算速度の平均値は{mean}GHzとされています。最新技術を採用した新型チップの性能が過去のモデルを上回っているかを評価するために、{size}個のチップを無作為に抽出し、それぞれの演算速度の測定結果は以下の通りでした：{data}GHz。演算速度は正規分布に従うと考えられています。これらの結果を用いて、新型チップの演算速度の平均値が{mean}GHzを上回っているかどうか、有意水準{alpha}で検定してください。
005,"あるチョコレートショップでは、特定のチョコレートバーの平均重量が{mean}gであることが製品規格とされています。最近、新しい製造機械が導入され、それにより製品の重量が規格値よりも増加しているという報告がありました。品質管理部門は、ランダムに抽出された{size}個のチョコレートバーについて重量を測定し、次の重量データを得ました：{data}(g)。重量データは正規分布に従うと見なされています。製品の平均重量が規格値の{mean}gより増加しているかどうかを有意水準{alpha}で検証してください。
006,"光ファイバーの普及により、インターネットの利用状況が変化していると言われています。ある新しいインターネットサービスプロバイダーは、その顧客の平均月間データ使用量が既存のプロバイダーの値である{mean}GBを超えていると考えられるため、検証を行うことにしました。プロバイダーはランダムに選んだ{size}人の顧客を対象にデータ使用量を測定し、次のデータを収集しました：{data}GB。月間データ使用量は正規分布に従うとされています。有意水準{alpha}において、このプロバイダーの顧客の平均月間データ使用量が{mean}GBを上回るかどうかを検証してください。
007,"あるチョコレート工場では、新しい製造プロセスが導入された後、1箱あたりのチョコレートの平均個数が過去の{mean}個よりも多くなっていると予想されています。この新しいプロセスの品質を確かめるために、ランダムに選んだ{size}箱のチョコレートを計測した結果、以下のデータを得ました：{data}個。チョコレートの個数は正規分布に従うと考えられています。有意水準{alpha}で新しい製造プロセスによる1箱あたりのチョコレートの平均個数が{mean}個を上回っているかを検定してください。
008,"あるワイン農園で生産されるワインのアルコール含有量が平均{mean}%であるとされています。しかし、最近の栽培技術の改善を受けて、アルコール含有量が上昇した可能性があります。品質管理のために無作為に選んだ{size}本のワインのアルコール含有量を測定した結果を表す以下のデータが得られました：{data}%。アルコール含有量は正規分布に従うと想定できます。このサンプルデータを用いて、アルコール含有量の平均が{mean}%を上回るかを有意水準{alpha}で検定してください。
009,"ある製品の生産ラインで作られる製品の平均重さは{mean}キログラムであるとされています。しかし最近の工程改善が効果をもたらした可能性があるため、平均重さが{mean}キログラムを上回っているかを検証したいと考えています。そこで{size}個の製品を無作為に抽出し、重さを測定した結果、次のデータを得ました：{data}キログラム。製品の重さは正規分布に従うと仮定されます。平均重さが{mean}キログラムより重くなっていることを、有意水準{alpha}で検定してください。
010,"新型の省エネルギー電球が市場に出され、その明るさが従来のモデルの平均{lumens}ルーメンよりも向上しているかを確かめる必要があります。ある照明メーカーは最近、ランダムに選んだ{size}個の新型電球をテストし、各電球の明るさを測定したところ以下のデータを得ました：{data}ルーメン。明るさのデータは正規分布に従うと考えられます。新型電球の平均明るさが従来のモデルを上回っているかを有意水準{alpha}で検証してください。
011,"新製品のバッテリー寿命に関する最新の研究では、新しい種類の電池が開発され、その平均寿命は{mean}時間とされていました。電池メーカーはこの新しい電池の実際の平均寿命がこれを超えていると主張しており、その主張を確認するために、{size}個の電池について寿命を測定し、次の結果を得ました：{data}時間。寿命のデータは正規分布に従うと考えられています。これらのデータをもとに、新型電池の平均寿命が{mean}時間よりも長いことを有意水準{alpha}で検定してください。
012,"ある工場で製造されるコンピュータチップの平均動作速度は{mean}GHzとされていますが、新たに導入された素材の効果により速度が向上したという仮説を立てました。そこで工場から無作為に{size}個のチップを選び、動作速度を測定した結果、以下のデータが得られました：{data}GHz。動作速度は正規分布していると仮定できます。この結果をもとに、有意水準{alpha}で平均動作速度が{mean}GHzよりも速くなったかを検定してください。
013,"健康食品の新しい成分が睡眠改善に効果があるとされており、その平均睡眠時間延長効果を検証します。過去の成分である平均効果は{mean}時間とされています。新成分を含む健康食品を摂取した{size}名の被験者のデータを集め、睡眠時間延長効果を次のように計測しました：{data}時間。睡眠時間延長の効果は正規分布に従うと考えられます。被験者データをもとに、新成分の睡眠時間延長効果が過去の成分のものと比べて増加しているかを、有意水準{alpha}で検定してください。
014,"新型コンピュータのプロセッサの性能向上が見込まれており、そのクロック速度が従来モデルの{mean}GHzを超えると期待されています。最新モデルのプロセッサに関する{size}個の試験結果が得られ、各プロセッサのクロック速度は以下の通りです：{data}GHz。プロセッサの性能指標は正規分布に従うと仮定されます。得られたデータを基に、新型コンピュータのプロセッサが従来モデルに比べて性能が向上しているかどうか、有意水準{alpha}で検証してください。
015,"ある食品会社が新製品の開発において、従来のスナック菓子の1袋あたりのカロリー平均は{mean}kcalとされています。しかし、最新の製造技術を使用した新製品では、1袋あたりのカロリーが従来品よりも高い可能性があります。そこで、新製品の{size}袋から無作為に抽出し、各袋のカロリーを測定した結果、次の数値を得ました：{data}kcal。カロリーは正規分布に従うと仮定しています。今回の新製品が従来品のカロリー平均{mean}kcalを上回っているかを、有意水準{alpha}で検定してください。
016,"新発売された低カロリースナックの平均カロリーが業界標準の{mean}kcalを超えていないかを調査することになりました。このスナックのカロリーは正規分布に従うとされています。品質管理部ではランダムに選んだ{size}個のスナックから得たカロリーデータは以下の通りです：{data}kcal。有意水準{alpha}でこのスナックの平均カロリーが{mean}kcalを超えているか否かを確かめてください。
017,"新発売されたダイエットサプリメントの効果に関する研究を進めています。過去の研究では、類似のサプリメントの摂取による1ヶ月の平均体重減少量が{mean}kgと報告されています。新サプリメントの臨床試験にて{size}名の被験者に対し、1ヶ月間の摂取後の体重減少量を測定したところ、次のデータが得られました：{data}kg。体重減少量は正規分布に従うと考えられます。市場に出る前に、新サプリメントによる平均体重減少量が以前の製品よりも有意に高いかを確かめる必要があります。有意水準{alpha}で、新サプリメントの効果が過去の製品を超えるかどうかを検証してください。
018,"工場で製造される電子部品の抵抗値について、定格通りの設計平均値が{mean}Ωであることが規定されていますが、新たに導入された製造工程が設計平均を上回るかどうかを確かめるための検査が実施されました。製造された部品から無作為に抽出した{size}個の電子部品について抵抗値を計測し、以下の数値が得られました：{data}Ω。抵抗値は正規分布に従っているとみなせるため、有意水準{alpha}で新しい製造工程による電子部品の抵抗値が設計平均値{mean}Ωを超えているかを検証してください。
019,"新たに導入された製造プロセスが、製品の品質に影響を与えるかを評価するために、あなたは製品の平均寿命を分析しています。過去のデータによると、製品の平均寿命は{mean}年とされています。新製造プロセスを適用した製品の平均寿命が、以前のものよりも延びているかどうかを評価するために、無作為に選ばれた{size}個の製品の寿命を調べた結果、次の寿命データが得られました：{data}年。製品の寿命は正規分布に従うと考えられます。有意水準{alpha}で、新製造プロセスによって製品の寿命が以前の平均値{mean}年を上回ったかどうかを検定してください。
020,"あるスポーツドリンクメーカーは、新しい製品のカロリー値が従来品よりも高いとされています。従来品のカロリーは一本あたり{mean}カロリーでした。新製品の品質テストとして{size}本のサンプルをランダムに選び、カロリーを測定した結果以下のデータが得られました：{data}カロリー。スポーツドリンクのカロリーは正規分布に従うと仮定されます。新製品が本当に従来品よりカロリーが高いかを有意水準{alpha}で検証してください。
021,"あるチョコレート工場で生産されるチョコレートバーの平均重量が{mean}gとされています。品質管理の一環として、新しい製造ロットからランダムに選ばれた{size}個のチョコレートバーの重量が測定され、次のデータが得られました：{data}(g)。製造プロセスの改善が有効であったかを判断するため、製品の重量は以前よりも重くなったと期待されています。正規分布を前提とした上で、チョコレートバーの平均重量が{mean}gより重くなっているかを有意水準{alpha}で検定してください。
022,"新しいプログラムの実行速度が従来のシステムよりも速いかどうかを評価するために実験が行われました。過去の結果から、旧システムのプログラム実行時間の母平均は{mean}秒とされています。開発チームにより導入された新システムでは、プログラムをランダム抽出した{size}個のコンピュータで実行し、次の実行時間を記録しました：{data}秒。実行時間は正規分布すると仮定されています。新しいシステムによりプログラム実行時間が減少したことを示すため、有意水準{alpha}で平均実行時間が{mean}秒未満となるかどうかを検定してください。
023,"ある工場では、新しく導入された製造工程によって、製品の平均耐久時間が従来の{mean}時間から向上したかどうかを調査しています。製品の耐久時間は正規分布していると仮定できます。今回、新しい工程で製造された製品から無作為に選ばれた{size}個の製品について耐久テストを行い、次のデータを得ました：{data}時間。有意水準{alpha}でこれらのデータを基に、製品の平均耐久時間が{mean}時間を上回ったかどうかを検定してください。
024,"あるスポーツドリンクのメーカーが新製品のエネルギー値についての主張を立証するため、科学的な検証が求められています。過去の製品テストでは1本あたりのエネルギー値は{mean}kcalとされていました。新製品の市場投入に先立ち、{size}本のドリンクから無作為に抽出したサンプルを検査し、それぞれのエネルギー値を計測した結果、以下のデータが得られました：{data}kcal。エネルギー値は正規分布に従うと考えられております。新製品が従来の製品と比べてエネルギー値が向上しているかどうかを、有意水準{alpha}で検定してください。
025,"食品会社が製造するクッキーの平均重量が{mean}gであることが品質基準となっています。しかし、製造ラインの改善により重量が増加しているのではないかという仓念があります。そこで{size}個のクッキーの重量を無作為に抽出し測定した結果、次のデータを得ました：{data}(g)。重量の分布は正規分布すると仮定できます。これらのデータに基づき、クッキーの平均重量が{mean}gを上回ったかどうかを有意水準{alpha}で検定してください。
026,"電子機器のバッテリーの寿命に関する研究をしています。過去のデータによると、特定メーカーのバッテリーの平均寿命は{mean}時間とされています。しかし、最新の改良が施されたメーカーの主張によると、新バッテリーはこれまでよりも長持ちするとのことです。その主張を検証するために、改良されたバッテリーをランダムに{size}個選び、実際の寿命を測定したところ、次のデータが得られました：{data}時間。バッテリーの寿命が正規分布しているとすると、有意水準{alpha}で新バッテリーの平均寿命が{mean}時間を越えるかどうかを検定してください。
027,"最新のパソコンプロセッサの性能テストで、基準となるプロセッサのクロック速度の母平均は{mean}GHzとされています。技術の進歩により、新型プロセッサのクロック速度が基準を超えていることが予想されています。そこで、ランダムに選択した{size}個の新型プロセッサについてクロック速度を測定し、以下のデータを得ました：{data}GHz。クロック速度は正規分布すると考えられています。この得られたデータを利用して、新型のプロセッサのクロック速度が母平均を上回っているかどうかを有意水準{alpha}で検定してください。
028,"新開発の長持ちする電池の平均稼働時間について調査を行なっています。従来の電池の稼働平均時間は{mean}時間とされており、新電池がこの数値を上回ることが期待されています。ランダムに選ばれた{size}個の新電池について稼働試験を実施したところ、以下の稼働時間データを得ました：{data}時間。稼働時間は正規分布に従うという前提のもとで、これらのデータを用いて新電池の平均稼働時間が{mean}時間を超えていると言えるかどうか、有意水準{alpha}で検定してください。
029,"母集団の中央値が{mean}mgのある成分を含む健康食品について、新たな製造プロセスがその成分の量を増加させたという仮説を立てました。この新しい製造プロセスから得られた{size}個の製品サンプルの成分量は{data}mgでした。得られたデータは正規分布に従います。有意水準{alpha}で母集団の中央値が{mean}mgを超えるという仮説を検定してください。
030,"新製品のチョコレートバーが市場に投入される前に、その満足度を評価する実験が行われました。以前の市場調査では同種のチョコレートバーに対する一般消費者の満足度の平均得点が{mean}点でした。新製品に対する消費者の満足度がこれを上回っていると企業は予想しており、製品の成功を確信するためにデータを集めることにしました。ランダムに選ばれた{size}人のテスターに新製品を試食してもらい、次の満足度スコアを得ました：{data}点。満足度スコアは正規分布に従うと仮定でき、データを用いて新製品の平均満足度スコアが以前の製品の{mean}点を超えていることを有意水準{alpha}で検定してください。
031,"新しい種類のパソコンバッテリーの平均稼働時間が従来のバッテリーより長いかどうかを調査する実験が行われました。これまでのバッテリーの平均稼働時間は{mean}時間とされています。新バッテリーをランダムに選んだ{size}台のパソコンに搭載し、稼働時間の計測を行ったところ、以下のデータが得られました：{data}時間。バッテリーの稼働時間は正規分布に従うとみなせます。新しいバッテリーの平均稼働時間が従来のバッテリーより長いかを、有意水準{alpha}で検定してください。
032,"あるスポーツドリンクの効果について研究を行っている研究グループは、ドリンクが持続するエネルギーの平均時間が{mean}時間と経験的に知られています。最近の配合の改良が効果時間に対して肯定的な影響をもたらしたかを評価するため、新しい配合のドリンクを{size}人のアスリートに飲ませたところ、以下のような持続時間データを得ました：{data}時間。持続時間は正規分布に従うと仮定できます。新しい配合のドリンクによる平均持続時間が前回測定した{mean}時間を超えているかどうかを、有意水準{alpha}で検証してください。
033,"数あるプログラミング言語の中でも、Pythonの人気は非常に高いと言われています。その人気の理由の1つに、読みやすいシンタックス（文法）があるとされます。理工学部の入門コースでは、学生に対してPythonの基本的な文法やデータ解析の技術を教えており、その授業の一環として次のような統計学の実践課題を行っています。通常、初学者がプログラミングを習得する際、簡単な例題から始めることが標準的な教育プロセスです。そのため、次の問題を用いて基本的な1標本t検定の手法を理解してもらいます。「Pythonプログラミング言語の学習について、過去のデータより学生が1週間に費やす平均勉強時間は{mean}時間であったとされています。しかし、最近のオンライン教育ツールの改善により、学生の勉強時間が増えている可能性があります。そこで、{size}人の学生を無作為に選び、1週間にどれだけの時間をPythonの学習に費やしたかを調査しました。その結果、以下の勉強時間のデータを得ました：{data}時間。勉強時間は正規分布に従うと仮定されています。これらのデータを用いて、有意水準{alpha}で学生の平均勉強時間が{mean}時間を上回っているかどうかを検定してください。」
034,"新製品のバッテリー寿命が業界標準を上回っているかどうかについて、品質保証部門が調査を行うことになりました。バッテリー業界では、一般的なバッテリーの寿命の母平均は{mean}時間とされています。新型バッテリーの{size}個の標本を抽出し実施した耐久テストから、以下の寿命データを得ました：{data}時間。バッテリー寿命は正常に動作する限り正規分布すると想定されます。得られたデータをもとに、有意水準{alpha}で新製品のバッテリー平均寿命が業界標準を超えているかを検証してください。
035,"運転手の日常の運転距離が規制値である{mean}kmを超えているかどうかが問題視されています。規制前の調査によると、運転手の平均運転距離は{mean}kmであったという結果になっていますが、最近の運送業界の需要増加によりこの平均値を上回る可能性が懸念されています。そこで、無作為抽出した{size}人の運転手について運転距離を記録したところ、次のデータが得られました：{data}km。運転距離は正規分布に従うと仮定して、有意水準{alpha}で運転手の平均運転距離が規制値の{mean}kmを超えているかどうかを検定してください。
036,"ある小学校で実施された新しい数学教育プログラムの効果を評価するために、生徒たちの数学テストのスコアが以前確認された母平均{mean}点から向上したかどうかを評価します。教育プログラム導入後、無作為抽出された{size}人の生徒たちのテストスコアは以下の通りでした：{data}点。テストスコアは正規分布に従うと仮定されます。教育プログラムの効果によってテストスコアの平均が{mean}点を超えて向上しているかを有意水準{alpha}で検定してください。
037,"栄養補助食品の開発において、新たな成分の追加によってエネルギー代謝率が向上するかどうかの検証が行われています。以前の研究によると、該当成分を加えていない栄養補助食品による平均エネルギー代謝率は{mean}kcal/dayであると報告されています。新たな成分を添加した製品を摂取した{size}人の被験者のエネルギー代謝率を計測した結果、次のデータを得ました：{data}kcal/day。エネルギー代謝率は正規分布に従うと考えられています。新しい栄養補助食品によってエネルギー代謝率が増加するかを、有意水準{alpha}で検証してください。
038,"最近の健康に対する意識の高まりを受け、ある栄養補助食品の平均含有ビタミンC量は{mean}mgであると公表されています。新しい製造プロセスが導入された後、この食品に含まれるビタミンCの量が以前よりも増えている可能性が示唆されました。この栄養補助食品から無作為に抽出された{size}個のサンプルについてビタミンCの含有量を分析した結果、以下のデータを得ました：{data}mg。製品のビタミンC含有量は正規分布すると仮定されています。有意水準{alpha}で、この食品の平均ビタミンC含有量が{mean}mgを超えているかどうかを検定してください。
039,"ある工場で製造されるボルトの平均長さについて品質管理を行っています。過去の品質基準によると、ボルトの平均長さは{mean}mmであるとされています。新しい製造工程が施された後、ランダムに選ばれた{size}個のボルトの長さを測定した結果、以下のデータが得られました：{data}mm。ボルトの長さは正規分布していると考えられ、新しい製造工程によりボルトの品質が向上し、平均長さが増加したのではないかと推測されています。有意水準{alpha}でボルトの平均長さが{mean}mmを超えているかどうか検定してください。
040,"高校の成績評価において、数学のテストにおける生徒の平均得点が{mean}点であるとされています。しかし、最新の教育方針とカリキュラム改善により、成績が向上していると考えられています。実証するために、無作為に選ばれた{size}人の生徒のテスト結果を集めたところ、次の得点が得られました：{data}点。生徒の得点分布は正規分布に従っていると想定されます。新しい教育方針により成績の平均が{mean}点を上回っているかどうかを、有意水準{alpha}で検定してください。
