No.,問題文
001,"「ある栄養学の研究で、特定のダイエット食品が摂取後の血糖値に与える影響を調査しています。過去の研究ではこの食品を食べた後の血糖値の平均は{mean}mg/dlとされていました。新しい試験で、{size}人の被験者にその食品を摂取してもらった後、血糖値を計測し、次のデータを取得しました：{data}mg/dl。血糖値の測定結果は正規分布に従うと仮定します。このダイエット食品が摂取後の血糖値を低下させることを示す証拠があるかどうかを、有意水準{alpha}で検定してください。」
002,"健康食品の効果を評価するために、ある健康食品を毎日摂取したときの血圧低下の平均値は{mean}mmHgだという結果が過去の研究で報告されています。新たなボランティア{size}人にこの健康食品を摂取してもらい、摂取前と摂取後の血圧の差を測定したところ以下のデータを得ました：{data}mmHg。血圧の差は正規分布に従うと考えられています。市場に出ている他の健康食品と比較して、この食品の血圧低下効果が少なくないという主張を支持するため、得られたデータに基づいて平均血圧低下値が{mean}mmHg未満となるという仮説を有意水準{alpha}で検定してください。
003,"ある地域の農家では、特定の品種のリンゴの平均重さが{mean}kgであるとされています。しかし、最近の不作が疑われており、果実の平均重さがこれを下回るかどうかを確かめる必要が出てきました。そのため{size}個のリンゴを無作為に選び、重さを量ったところ次のデータを得ました：{data}(kg)。リンゴの重量は正規分布に従うと考えられています。リンゴの平均重量が{mean}kg以下であるかを、有意水準{alpha}で検定してください。
004,"ある食品の製造ロットから、品質保証の一環としてランダムに選ばれた{size}個の製品における添加剤の平均含有量を検査しています。規格によれば、この添加剤の平均含有量は{mean}mgと定められています。最近の生産プロセスの改善により、含有量がこれよりも少なくなることが期待されています。検査結果として、以下のデータを得ました：{data}(mg)。添加剤の含有量は正規分布に従うと仮定されます。生産プロセスの改善が有効であったかどうかを、有意水準{alpha}で検定してください。
005,"ある地域の小学生の身長に関する研究では、地域の小学生の平均身長が{mean}cmだとされています。最近の食生活の変化により、これらの子供たちの平均身長が以前よりも低くなっているという報告があります。この仮説を検証するために、ランダムに選ばれた{size}人の小学生の身長を測定し、以下のデータが得られました：{data}(cm)。身長は正規分布に従うとされています。平均身長が{mean}cmよりも低下しているかどうかを有意水準{alpha}で検定してください。
006,"ある学校の全校生の朝食摂取状況についての調査では、生徒が朝食を摂る割合の母平均は{mean}%とされていました。しかし、昨今の多忙化により朝食を抜く生徒が増加しているのではないかという仮説が立てられています。この調査を再検証するために、無作為に選ばれた{size}人の生徒を対象に朝食を摂っているかどうかのアンケートを実施し、以下の結果{data}%が得られました。生徒の朝食摂取の割合は正規分布に従うと考えられます。有意水準{alpha}で、生徒が朝食を摂る割合の平均が{mean}%未満であるかを検定してください。
007,"新型のバッテリーが従来のものと比べて持続時間が短くなっていないかを評価するための実験が行われました。従来のバッテリーの平均持続時間は{mean}時間であることが知られています。技術者チームは新型バッテリーのサンプルからランダムに{size}個選び、それぞれの持続時間を測定し、次のデータを得ました：{data}時間。バッテリーの持続時間は正規分布すると考えられます。これらの結果をもとに新型バッテリーの持続時間が従来の{mean}時間を下回っていないことを有意水準{alpha}で検定してください。
008,"あるコーヒーショップではコーヒー豆の平均内容量が{mean}gとされていますが、最近の供給業者の変更により、内容量が減少した可能性が出てきました。この懸念を確認するため、無作為に選ばれた{size}袋のコーヒー豆を購入し、各袋の内容量をはかった結果、次のデータが得られました：{data}(g)。コーヒー豆の内容量は正規分布に従うと考えられています。供給業者の変更によりコーヒー豆の平均内容量が{mean}g未満になったかどうかを、有意水準{alpha}で検証してください。
009,"ある品質管理部門が、製品の平均寿命が{mean}年であることを確認するための検証を行っています。この製品の寿命は正規分布に従うとされ、新しい製造プロセスが導入された後の寿命が短縮されていないか検証する必要があります。検証のために新プロセスで製造された製品からランダムに{size}個選び、それぞれの寿命を計測した結果、次のデータを得ました：{data}年。これらのデータを用いて、製品の平均寿命が{mean}年を下回っているかどうかを有意水準{alpha}で検定してください。
010,"ある大学の経済学部で提供される統計学の教科書では、経営管理における製品不良率の平均が{mean}%であると記載されています。しかし品質管理の教員は、最新の製造技術の導入により不良率がこの値を下回ると考えています。この仮説を検証するために、新しい製造ラインから{size}点の製品を無作為に抽出し、不良品の割合を調べました。結果として{data}%の不良率のデータが得られました。製品の不良率は正規分布していると仮定されます。これらのデータを用いて、製品不良率の平均が{mean}%を下回っているかどうかを有意水準{alpha}で検定してください。
011,"健康ドリンクの効能として、1日1本の摂取で運動持久力が向上するとの広告がありました。過去の研究によると、このドリンクを摂取しない成人の運動持久力の平均値は{mean}分とされています。新たな研究でこのドリンクを{size}日間摂取した成人を対象に運動テストを実施し、次のデータを得ました：{data}(分)。この運動テストのスコアは正規分布に従うと考えられます。有意水準{alpha}で、ドリンク摂取によって成人の運動持久力の平均値が{mean}分を下回ったかどうかを検定してください。
012,"ある食品メーカーが新たな保存技術を用いて、食品の酸度を低下させるという主張を行いました。新技術を用いて製造された食品の平均酸度は{mean}pHであるとされています。品質管理のため、製造ラインからランダムに抽出した{size}個の製品について酸度のテストを施し、次の結果を得ました：{data}pH。食品の酸度は正規分布に従うと考えられます。新技術により本当に食品の平均酸度が低下しているかどうかを、有意水準{alpha}で検定してください。
013,"教科書の平均価格に関する研究を行っています。過去の市場調査によると、特定の教科書の平均価格は{mean}ドルとされています。しかし、新たなオンライン販売の流れがこの価格水準に影響を与えているとの仮説が立てられています。そこで、最新の{size}冊の教科書価格を集めたところ、次のデータが得られました：{data}ドル。教科書の価格は正規分布に従うと仮定されます。平均価格が{mean}ドル未満になったかどうかを有意水準{alpha}で検定してください。
014,"あるダイエット法が実際に効果があるかどうかを検証するために、ダイエットコース参加者の平均体重減少量に関する研究が実施されました。過去の研究によるとダイエットコース修了者の平均体重減少量は{mean}kgとされています。新たに改良されたダイエットプログラムに参加した{size}人の参加者から得られた体重減少量のデータが以下の通りです：{data}(kg)。体重減少量の母集団は正規分布に従うと仮定できます。この改良されたダイエットプログラムにより体重減少量が以前よりも低下したかどうかを有意水準{alpha}で検定してください。
015,"ある製薬会社が開発した新しい抗生物質の臨床試験で、薬の効果継続時間が製品仕様の{mean}時間以上であることが重要です。この新薬の試験結果が{mean}時間未満になる可能性があるため、{size}人の患者に対する試験から得られた効果継続時間のデータを確認する必要があります。得られた効果継続時間のデータは{data}時間です。効果継続時間は正規分布すると仮定されます。有意水準{alpha}で、この抗生物質の効果継続時間が{mean}時間未満であるかどうかを検定してください。
016,"ある工場が生産する電子機器の電池寿命が過去のデータでは平均{mean}時間とされていましたが、改善された製造プロセスの影響を受けた電池の寿命が短くなると一部で懸念されています。これを検証するために、新しいプロセスで製造された電池からランダムに{size}個のサンプルを取り、それぞれの寿命を測定した結果、次のデータを得ました：{data}時間。電池寿命は正規分布にしたがうと仮定されています。有意水準{alpha}で、新しいプロセスにより電池寿命の平均が{mean}時間を下回るという仮定を統計的に検証してください。
017,"工場で生産されたボルトの長さは、品質管理の基準値として{mean}mmとされています。最近の生産ロットから無作為に抽出した{size}個のボルトについての長さを測定した結果、以下のデータが得られました：{data}mm。ボルトの長さは正規分布に従うと推測されます。有意水準{alpha}で、これらのデータに基づいて生産されたボルトの平均長さが基準値{mean}mmを下回ったかどうかを検定してください。
018,"ある製造工場では、新しい梱包資材を使用して以降の製品の平均梱包重量が既存の梱包資材を使用していた時の{mean}kgに比べて軽くなっていないかを検証する必要があります。製品の重量は正規分布していると仮定し、新しい梱包資材で梱包された製品をランダムに{size}個選び、重量を測定した結果、以下のデータが得られました：{data}(kg)。有意水準を{alpha}として、新しい梱包資材の導入が製品の平均梱包重量を{mean}kg以下に下げたことを検証してください。
019,"ある工場では、機械により切断された金属板の正確な長さの均一性が重要です。以前の品質管理のデータによると、切断された金属板の平均長さは{mean}mmであるとされています。新しい切断機を導入した後、正確な長さを維持しているかどうかを確認するため、無作為に選ばれた{size}枚の金属板を測定し、以下のデータを得ました：{data}mm。金属板の長さは正規分布に従うと考えられます。品質基準を満たすためには金属板の長さが過去の平均{mean}mmより短くなってはならないため、得られたサンプルデータを用いて切断された金属板の平均長さが{mean}mmを下回るという仮定が正しいかどうか、有意水準{alpha}で検定してください。
020,"あるダイエット食品のメーカーでは、新しいレシピによりカロリー削減が期待されており、製品の平均カロリーが{mean}kcalを下回るかどうかを検証している。製品のカロリーは正規分布すると考えられるため、{size}個の製品を无作為に抽出してカロリーを計測した結果以下のデータを得た：{data}(kcal)。製品の平均カロリーが{mean}kcalより実際に低下したかどうかを、有意水準{alpha}で検定しなさい。
