No.,問題文
001,"ある製造工場では、新しい生産プロセスが導入された後、チョコレートバーの標準重量が{mean}gで変わっていないかどうかを確認したいと考えています。この新生産ラインから{size}バーのサンプルをランダムに選んで重さを測定し、次のデータを得ました：{data}(g)。チョコレートバーの重さは正規分布に従うと仮定しています。得られたサンプルデータを用いて、チョコレートバーの標準重量が{mean}gから有意に変化したかどうかを有意水準{alpha}で検証してください。
002,"ある地域の成人男性の平均身長が{mean}cmであるとされています。地域開発のための健康診断では、ランダムに選ばれた{size}名の成人男性から身長のデータを収集し、次の結果を得ました：{data}(cm)。身長は正規分布していると想定されています。最新のデータを用いて、この地域の成人男性の平均身長が以前の{mean}cmと有意に異なるかどうかを有意水準{alpha}で調べてください。
003,"ある工場で製造されるチョコレートバーの平均重量は{mean}gと規定されています。品質管理チームは、製造ラインにおける新しい機械の導入がチョコレートバーの重さにどのような影響を与えたのかを把握する必要がありました。新しい機械によって作成されたチョコレートバー{size}個を無作為に抽出して重量を測定したところ、以下のデータが得られました：{data}(g)。製品の重量は工場の品質管理に基づき、正規分布に従うと考えられています。規定の平均重量から有意な変化があるかどうかを確かめるため、有意水準{alpha}で平均重量が{mean}gと異なるかどうかを検定してください。
004,"ある飲料の糖分含有量が変更されたとの報告を受け、製品の品質を監視する部署はその真偽を調査することになりました。工場が公表している糖分の平均含有量は{mean}gとされています。製品の糖分含有量を調べるため無作為に選ばれた{size}本の飲料からサンプルを採取し、以下のデータを得ました：{data}g。飲料の糖分含有量は正規分布に従っているとされています。得られたデータを使って平均糖分含有量が宣言されている{mean}gから有意に変化しているかを、有意水準{alpha}で検定してください。
005,"新しいタイプのエネルギードリンクの効果時間が、業界標準の{mean}時間から統計的に有意に異なるかどうかを判定するための研究を行っています。このエネルギードリンクを摂取した{size}人の被験者群から得られたサンプルデータは次の通りです：{data}時間。効果時間は正規分布するとされています。サンプルデータを利用して、母平均の効果時間が{mean}時間から変わっているのかを、有意水準{alpha}で検討してください。
006,"「製菓会社における新レシピのチョコレートバーの平均糖質含有量が従来のレシピと比較して変更があるかどうか検証することになりました。以前のレシピでは、チョコレートバーの糖質含有量は平均で{mean}gとされていました。最近改良されたレシピに基づき、ランダムに選ばれた{size}個のチョコレートバーの糖質含有量を測定したところ以下のデータを得ました：{data}(g)。糖質含有量は正規分布に従うと考えられています。製菓会社は新レシピによる平均糖質含有量が従来のレシピから変わっていないことを確認したいと考えています。この状況を踏まえ、有意水準{alpha}で新レシピのチョコレートバーの平均糖質含有量が{mean}gから変わったかどうかを検定してください。」
007,"「自動車の燃費性能に関する試験を行い、新型エンジンが従来のエンジンと平均燃費に違いがあるかどうかを調べることになりました。従来のエンジンの平均燃費は{mean}km/Lとされています。新型エンジンを搭載した自動車{size}台について、燃費テストを行った結果、以下のデータが得られました：{data}km/L。燃費データは正規分布に従うとされています。新型エンジンの燃費性能が従来のものと異なるかどうかを有意水準{alpha}で検定してください。」
008,"母集団の平均稼働時間が{mean}時間である工業用ロボットの耐久性能が変化したかどうかを検証するためにテストを行いました。新たに改良を加えたロボット{size}台の稼働実験を行い、以下のデータを得ました：{data}時間。ロボットの稼働時間は正規分布していると仮定されています。有意水準{alpha}で、これらのロボットの平均稼働時間が{mean}時間から変化しているかを検証してください。
009,"生産ラインで製造されるある部品の重量について検証が行われています。品質管理の基準では部品の平均重量が{mean}gであることになっています。最近の製造ロットから{size}個の部品をランダムに抽出し、重量を測定したところ以下のデータが得られました：{data}(g)。部品の重量は正規分布に従うと仮定されています。有意水準{alpha}でこの部品の平均重量が{mean}gから有意に異なるかどうかを検定してください。
010,"新しい飲料の味が消費者の好みに合致しているかどうかを確かめるため、ランダムに選んだ{size}人の消費者に試飲してもらいました。過去のデータから、飲料の味の評価の平均スコアは{mean}点とされています。この飲料のスコアが正規分布に従うと仮定し、今回集めたデータは次の通りです：{data}点。飲料のスコアが以前と変わらないかどうかを有意水準{alpha}で検定してください。
011,"ある工場で製造されているボルトの長さが規格通りであるかどうかを確かめる必要が生じました。規格ではボルトの平均長さが{mean}mmと定められており、ボルトの長さは正規分布すると考えられています。品質管理のために無作為に選んだ{size}本のボルトから次のデータが得られました：{data}mm。製造工程に問題がないかを確かめるため、平均長さが{mean}mmから有意に異なっているかどうかを有意水準{alpha}で検定してください。
012,"ある企業で製造されているバッテリーの平均寿命が{mean}時間であることが以前の調査でわかっています。品質保証部門では生産プロセスの変更によってバッテリーの寿命に違いが生じたかどうかを調べるために検定を行うことにしました。正規分布するとされる{size}個のバッテリーのテストデータを収集したところ、次の寿命が観測されました：{data}時間。このデータを用いて、バッテリーの平均寿命が{mean}時間から変わったかどうかを有意水準{alpha}で検定してください。
013,"ある製品の平均寿命が{mean}年であるとされている企業は、製品改良によって寿命が変化したかどうかを調査することにしました。改良後の製品から無作為に{size}個を選び、それぞれの寿命を測定した結果が{data}年でした。これらのデータは正規分布すると考えられています。有意水準{alpha}で製品の平均寿命が{mean}年から有意に変わったかどうかを検定してください。
014,"ある製造業者は、自社の電池の平均寿命が{mean}時間であると主張しています。しかし、最近の生産技術の向上により、実際の電池の寿命に変化があるかもしれないと考えられています。その真偽を確かめるため、{size}個のランダムに選んだ電池のサンプルをテストし、次の寿命データが得られました：{data}時間。電池の寿命は正規分布しているとします。さらに、平均寿命が{mean}時間と異なるかを、有意水準{alpha}で検証する必要があります。電池の平均寿命が{mean}時間から統計的に有意な差があるかを検定してください。
015,"ある製品の生産ラインで製造される部品の平均寸法が{mean}mmであるという品質管理基準が定められています。しかし、最近になり生産ラインの調整が行われたため、部品の平均寸法が変わっていないかどうかを確認する必要が生じました。生産後の{size}個の部品を無作為に選び、寸法を測定したところ以下のデータを得ました：{data}mm。部品の寸法は正規分布していると考えられます。品質基準を満たすためには、平均寸法が{mean}mmから有意に変わっていないかを確認することが不可欠です。有意水準{alpha}で部品の平均寸法が{mean}mmから有意に変わっているかどうかを検定してください。
016,"食品の平均糖度が{mean}％であることが製品仕様とされています。生産工程の変更が糖度に影響を与えたかどうかを評価するため、無作為に選んだ{size}個の製品から糖度を測定し、次のデータを得ました：{data}％。製品の糖度は正規分布すると考えられています。有意水準{alpha}で、実際の製品の平均糖度が{mean}％から有意に変わっているかどうかを検定してください。
017,"ある製造業者が提供するバッテリーの平均稼働時間に関して、母平均が{mean}時間であるとされています。しかし最近の品質改善努力により、実際の平均稼働時間に変化があるかもしれないと考えられています。そこで、ランダムに選んだ{size}個のバッテリーをテストし、次の稼働時間データを得ました：{data}時間。母集団が正規分布に従うことがわかっているとき、有意水準{alpha}でこのバッテリーの平均稼働時間が{mean}時間から有意に変化したかどうかを検定してください。
018,"新しい食品添加物の効果を検証するためのテストが実施されました。過去の研究によると、添加物を使用しない場合の食品の平均保存期間は{mean}日です。最近、{size}個の食品サンプルに新しい食品添加物を施し、保存期間を測定したところ以下のデータを得ました：{data}日。保存期間は正規分布に従うと考えられています。食品の平均保存期間が{mean}日から有意に変化しているかどうかを、有意水準{alpha}で検定してください。
019,"「製造業において、特定の部品の平均寿命が{mean}年であることが業界標準とされています。しかし、最近の製造技術の改良により、部品の平均寿命が業界標準と異なる可能性があるとの指摘がなされました。これを検証するため、ランダムに選んだ{size}個の部品をテストし、それぞれの寿命を次のように記録しました：{data}年。部品の寿命は正規分布に従うとされています。この結果をもとに、新しい製造技術による部品の平均寿命が業界標準の{mean}年と有意に異なるかどうかを、有意水準{alpha}で検定してください。」
020,"新製品の電池の寿命について、以前のモデルでは電池の平均寿命は{mean}時間であるとされています。技術改良が実際の電池寿命にどのような影響を与えたかを調べるために、{size}個の新製品電池を無作為に抽出し、それぞれの電池寿命を測定した結果、以下のデータを得ました：{data}時間。電池寿命は正規分布に従うと仮定されています。有意水準{alpha}を用いて、新製品の電池寿命が以前のモデルと異なるかどうかを検定してください。
021,"ある工場で製造されるボルトの長さが厳格な品質管理基準に準拠しているかを確認するための検定を行います。基準では、ボルトの平均長さが{mean}mmであるとされています。品質管理部では、無作為に選ばれた{size}本のボルトから得た測定データは{data}mmです。ボルトの長さは正規分布すると考えられています。測定されたデータを使用して、ボルトの平均長さが基準の{mean}mmから有意に異なるかどうかを有意水準{alpha}で検定してください。
022,"ある心理学の研究では、新しい教育プログラムが学生の認知能力に影響を及ぼしているかを調べることになりました。以前の研究では、該当する年齢層の学生の平均IQスコアは{mean}であることが報告されています。新しい教育プログラム参加後の{size}人の学生を無作為に選んでIQテストを行い、以下のスコアが得られました：{data}点。IQスコアは正規分布に従うと考えられています。参加者の平均IQスコアが以前の研究の結果と有意に異なるかどうかを有意水準{alpha}で検定してください。
023,"新製品の電球の寿命について、製造元からは平均寿命が{mean}時間と仮定されています。品質管理部門が無作為に選んだ{size}個の電球をテストした結果、以下の寿命データを得ました：{data}時間。電球の寿命は正規分布に従うと考えられています。得られたデータを基に、新製品の電球の平均寿命が製造元の仮定から有意に変動しているかどうかを有意水準{alpha}で検定してください。
024,"ある病院で実施された新たな治療法の効果を評価する研究が行われています。以前に行われた同様の治療法の研究では、患者の回復期間の母平均は{mean}日であると報告されています。今回、新治療法を適用した{size}人の患者の回復期間を測定したところ次のデータを得ました：{data}日。治療後の回復期間は正規分布に従うと推測されます。回復期間が以前の治療法に比べて有意に変わったのかを確かめるために、有意水準{alpha}で検定を行いたいと考えています。
025,"年齢に関連する身体活動の研究を行っている研究グループは、若者の平均運動時間が{mean}分であることを以前に発見しました。ある新しいトレーニングプログラムが若者の運動時間に影響を与えているかどうかを評価するため、{size}人の参加者にプログラムを適用した後、以下の運動時間データを収集しました：{data}分。運動時間のデータは正規分布に従っていると想定されています。新しいトレーニングプログラムが若者の平均運動時間に有意な影響を与えたかどうかを有意水準{alpha}で検定してください。
026,"ある工場では、ある部品の平均寿命が{mean}時間とされています。しかし、最新の改善策を施した結果、この平均寿命が変わったとの仮説が提出されました。したがって、改善後の部品から無作為に{size}個を選び寿命テストを行ったところ次のデータを得ました：{data}時間。部品の寿命は正規分布に従うと仮定できます。有意水準{alpha}で部品の平均寿命が{mean}時間から変化したかどうかを検定してください。
